id;destination;passanger;weather;temperature;time;coupon;expiration;gender;age;maritalStatus;has_children;education;occupation;income;Bar;CoffeeHouse;CarryAway;RestaurantLessThan20;Restaurant20To50;toCoupon_GEQ5min;toCoupon_GEQ15min;toCoupon_GEQ25min;direction_same;direction_opp;Y
1880;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;50plus;Unmarried partner;1;Bachelors degree;Personal Care & Service;$100000 or More;gt8;never;1~3;4~8;1~3;1;0;0;0;1;0
1881;Home;Partner;Rainy;55;6PM;Coffee House;1d;Female;50plus;Married partner;0;Bachelors degree;Sales & Related;$50000 - $62499;1~3;4~8;less1;1~3;less1;1;0;0;1;0;1
1882;Work;Alone;Sunny;30;7AM;Bar;1d;Female;31;Divorced;1;Some college - no degree;Food Preparation & Serving Related;$12500 - $24999;less1;less1;4~8;gt8;gt8;1;1;0;1;0;0
1883;No Urgent Place;Friend(s);Sunny;80;10PM;Bar;1d;Female;31;Single;0;Bachelors degree;Education&Training&Library;$25000 - $37499;less1;4~8;less1;4~8;1~3;1;1;0;0;1;0
1884;Work;Alone;Snowy;30;7AM;Restaurant(20-50);1d;Female;26;Married partner;0;Associates degree;Unemployed;$37500 - $49999;less1;1~3;1~3;1~3;1~3;1;1;1;0;1;0
1885;Home;Partner;Sunny;80;6PM;Coffee House;1d;Male;26;Married partner;0;Bachelors degree;Computer & Mathematical;$100000 or More;4~8;;1~3;1~3;less1;1;0;0;1;0;0
1886;Home;Partner;Sunny;55;10PM;Bar;1d;Male;26;Unmarried partner;0;Associates degree;Management;$12500 - $24999;less1;less1;4~8;1~3;less1;1;1;1;0;1;1
1887;Home;Alone;Sunny;80;6PM;Coffee House;1d;Male;below21;Unmarried partner;0;Some college - no degree;Student;$12500 - $24999;less1;gt8;4~8;1~3;less1;1;0;0;0;1;1
1888;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(20-50);2h;Male;46;Single;0;Graduate degree (Masters or Doctorate);Computer & Mathematical;$37500 - $49999;never;gt8;1~3;4~8;less1;1;1;0;0;1;0
1889;No Urgent Place;Partner;Sunny;80;6PM;Bar;2h;Female;31;Unmarried partner;1;Bachelors degree;Sales & Related;$37500 - $49999;1~3;less1;4~8;4~8;less1;1;1;0;0;1;1
1890;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Female;36;Married partner;1;Graduate degree (Masters or Doctorate);Business & Financial;$100000 or More;never;4~8;1~3;4~8;1~3;1;1;0;0;1;1
1891;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Female;41;Married partner;0;Bachelors degree;Office & Administrative Support;$62500 - $74999;4~8;1~3;4~8;gt8;less1;1;0;0;1;0;0
1892;Home;Alone;Sunny;80;6PM;Coffee House;1d;Female;26;Unmarried partner;0;Associates degree;Office & Administrative Support;$12500 - $24999;less1;1~3;1~3;1~3;1~3;1;0;0;1;0;0
1893;Work;Alone;Sunny;55;7AM;Bar;1d;Male;21;Married partner;0;Bachelors degree;Management;$50000 - $62499;never;never;4~8;4~8;1~3;1;1;1;0;1;1
1894;Home;Alone;Sunny;80;6PM;Restaurant(<20);2h;Female;41;Married partner;1;Some college - no degree;Arts Design Entertainment Sports & Media;$62500 - $74999;less1;less1;1~3;1~3;less1;1;0;0;1;0;0
1895;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Male;31;Married partner;1;Bachelors degree;Computer & Mathematical;$75000 - $87499;never;never;1~3;1~3;never;1;0;0;1;0;1
1896;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;41;Married partner;1;Bachelors degree;Business & Financial;$100000 or More;1~3;less1;less1;1~3;1~3;1;1;0;0;1;0
1897;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;26;Single;0;Bachelors degree;Healthcare Practitioners & Technical;$37500 - $49999;1~3;1~3;gt8;gt8;gt8;1;1;0;0;1;1
1898;Home;Alone;Sunny;80;6PM;Carry out & Take away;1d;Female;21;Married partner;0;Some college - no degree;Student;Less than $12500;less1;gt8;4~8;1~3;1~3;1;0;0;0;1;0
1899;No Urgent Place;Alone;Rainy;55;10AM;Coffee House;1d;Male;31;Unmarried partner;0;Bachelors degree;Sales & Related;$12500 - $24999;never;less1;1~3;1~3;never;1;1;0;0;1;1
1900;Home;Partner;Rainy;55;6PM;Coffee House;1d;Male;26;Single;0;Bachelors degree;Sales & Related;$75000 - $87499;never;never;4~8;4~8;less1;1;0;0;1;0;0
1901;No Urgent Place;Partner;Sunny;80;2PM;Restaurant(20-50);1d;Female;50plus;Married partner;0;Bachelors degree;Sales & Related;$50000 - $62499;1~3;4~8;less1;1~3;less1;1;0;0;0;1;0
1902;Work;Alone;Snowy;30;7AM;Restaurant(<20);2h;Male;50plus;Married partner;0;Graduate degree (Masters or Doctorate);Retired;$50000 - $62499;less1;less1;less1;1~3;1~3;1;1;1;0;1;0
1903;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Female;36;Single;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$37500 - $49999;less1;never;4~8;1~3;less1;1;1;1;0;1;1
1904;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Male;26;Single;0;Bachelors degree;Sales & Related;$75000 - $87499;never;never;1~3;1~3;1~3;1;1;0;0;1;0
1905;Home;Alone;Sunny;55;6PM;Bar;1d;Female;31;Married partner;0;Some college - no degree;Computer & Mathematical;$100000 or More;less1;less1;1~3;gt8;less1;1;0;0;1;0;1
1906;Home;Alone;Sunny;80;6PM;Restaurant(20-50);1d;Female;26;Single;0;Bachelors degree;Office & Administrative Support;$12500 - $24999;less1;less1;less1;less1;less1;1;0;0;1;0;0
1907;No Urgent Place;Friend(s);Snowy;30;10AM;Carry out & Take away;1d;Female;50plus;Single;0;Graduate degree (Masters or Doctorate);Education&Training&Library;$87500 - $99999;1~3;1~3;less1;1~3;less1;1;1;0;0;1;0
1908;No Urgent Place;Friend(s);Sunny;30;10PM;Carry out & Take away;1d;Female;50plus;Single;1;Some college - no degree;Unemployed;Less than $12500;never;1~3;less1;1~3;less1;1;1;0;0;1;1
1909;Work;Alone;Snowy;30;7AM;Restaurant(20-50);1d;Male;41;Married partner;1;Associates degree;Farming Fishing & Forestry;$25000 - $37499;never;never;never;1~3;never;1;1;1;0;1;1
1910;Home;Alone;Sunny;55;6PM;Restaurant(20-50);1d;Female;46;Married partner;1;Some college - no degree;Sales & Related;$25000 - $37499;less1;less1;1~3;less1;never;1;1;0;0;1;0
1911;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Male;31;Single;0;Some college - no degree;Transportation & Material Moving;$50000 - $62499;1~3;4~8;4~8;4~8;1~3;1;0;0;0;1;1
1912;Work;Alone;Rainy;55;7AM;Restaurant(<20);2h;Female;50plus;Single;0;Graduate degree (Masters or Doctorate);Business & Financial;$37500 - $49999;less1;gt8;1~3;1~3;1~3;1;1;1;0;1;0
1913;Work;Alone;Sunny;80;7AM;Restaurant(20-50);2h;Female;36;Married partner;0;Bachelors degree;Unemployed;$25000 - $37499;less1;1~3;4~8;4~8;4~8;1;0;0;1;0;0
1914;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Female;31;Married partner;1;Bachelors degree;Sales & Related;$12500 - $24999;less1;1~3;1~3;1~3;less1;1;1;0;0;1;1
1915;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(20-50);1d;Male;below21;Single;0;Some college - no degree;Student;$25000 - $37499;never;never;less1;never;;1;1;0;0;1;0
1916;Home;Alone;Sunny;80;6PM;Bar;2h;Male;31;Unmarried partner;0;Some college - no degree;Sales & Related;$62500 - $74999;gt8;1~3;1~3;4~8;less1;1;0;0;1;0;1
1917;Work;Alone;Snowy;30;7AM;Restaurant(<20);2h;Male;26;Single;0;Bachelors degree;Sales & Related;$75000 - $87499;never;never;less1;less1;less1;1;1;1;0;1;1
1918;No Urgent Place;Partner;Sunny;80;6PM;Bar;2h;Female;31;Married partner;0;Some college - no degree;Computer & Mathematical;$100000 or More;less1;less1;gt8;4~8;1~3;1;1;0;0;1;0
1919;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Female;36;Married partner;1;Bachelors degree;Education&Training&Library;$87500 - $99999;less1;gt8;4~8;1~3;less1;1;0;0;0;1;1
1920;Work;Alone;Sunny;55;7AM;Coffee House;1d;Male;36;Married partner;0;Some college - no degree;Healthcare Practitioners & Technical;$25000 - $37499;never;gt8;4~8;less1;less1;1;1;0;0;1;1
1921;Work;Alone;Sunny;80;7AM;Carry out & Take away;2h;Female;26;Unmarried partner;0;Some college - no degree;Food Preparation & Serving Related;$25000 - $37499;less1;less1;1~3;less1;1~3;1;0;0;1;0;1
1922;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;26;Single;0;Some college - no degree;Unemployed;$87500 - $99999;never;1~3;4~8;less1;never;1;0;0;0;1;1
1923;Work;Alone;Rainy;55;7AM;Restaurant(<20);2h;Female;21;Single;0;Bachelors degree;Student;$25000 - $37499;never;never;less1;never;never;1;0;0;1;0;0
1924;Work;Alone;Sunny;30;7AM;Bar;1d;Female;21;Unmarried partner;0;Bachelors degree;Sales & Related;$25000 - $37499;1~3;4~8;4~8;1~3;1~3;1;0;0;0;1;0
1925;Work;Alone;Sunny;80;7AM;Coffee House;2h;Female;31;Married partner;1;Some college - no degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;1~3;4~8;4~8;never;1;0;0;1;0;1
1926;No Urgent Place;Friend(s);Sunny;80;10AM;Bar;1d;Male;50plus;Widowed;0;Some college - no degree;Construction & Extraction;Less than $12500;never;never;less1;1~3;less1;1;0;0;0;1;0
1927;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Male;46;Married partner;1;Bachelors degree;Education&Training&Library;$75000 - $87499;less1;1~3;1~3;1~3;less1;1;1;0;0;1;1
1928;Home;Alone;Sunny;80;6PM;Restaurant(<20);2h;Female;31;Unmarried partner;1;Bachelors degree;Sales & Related;$37500 - $49999;1~3;less1;4~8;4~8;less1;1;0;0;1;0;1
1929;Home;Alone;Sunny;80;6PM;Restaurant(<20);1d;Female;26;Unmarried partner;0;Bachelors degree;Community & Social Services;$37500 - $49999;less1;never;1~3;less1;never;1;0;0;1;0;1
1930;No Urgent Place;Alone;Rainy;55;10AM;Bar;1d;Female;26;Single;0;Bachelors degree;Office & Administrative Support;$12500 - $24999;less1;less1;less1;less1;less1;1;1;0;0;1;0
1931;No Urgent Place;Friend(s);Sunny;55;2PM;Coffee House;1d;Male;26;Single;0;Bachelors degree;Sales & Related;$75000 - $87499;never;never;1~3;1~3;1~3;1;0;0;0;1;0
1932;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Female;21;Single;0;Some college - no degree;Sales & Related;$12500 - $24999;never;1~3;4~8;1~3;never;1;1;0;0;1;0
1933;Work;Alone;Rainy;55;7AM;Carry out & Take away;2h;Male;41;Married partner;0;Some college - no degree;Production Occupations;$25000 - $37499;less1;never;gt8;1~3;1~3;1;1;0;1;0;1
1934;Work;Alone;Sunny;30;7AM;Bar;1d;Male;21;Single;0;Some college - no degree;Student;$12500 - $24999;1~3;less1;4~8;less1;never;1;1;0;1;0;1
1935;Home;Alone;Sunny;55;6PM;Bar;1d;Male;26;Single;0;Some college - no degree;Healthcare Support;$37500 - $49999;gt8;gt8;gt8;gt8;gt8;1;0;0;1;0;1
1936;No Urgent Place;Friend(s);Sunny;30;10PM;Carry out & Take away;1d;Male;21;Single;1;Some college - no degree;Student;$62500 - $74999;never;never;4~8;1~3;1~3;1;1;0;0;1;1
1937;Work;Alone;Sunny;55;7AM;Bar;1d;Male;21;Single;0;Bachelors degree;Student;$37500 - $49999;less1;1~3;4~8;1~3;less1;1;1;1;0;1;1
1938;No Urgent Place;Partner;Sunny;80;6PM;Bar;1d;Female;31;Unmarried partner;0;Bachelors degree;Legal;$100000 or More;never;less1;less1;1~3;1~3;1;1;0;0;1;0
1939;Work;Alone;Rainy;55;7AM;Bar;1d;Female;36;Divorced;0;Associates degree;Computer & Mathematical;$12500 - $24999;less1;4~8;1~3;less1;less1;1;1;1;0;1;1
1940;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);1d;Female;50plus;Single;0;Graduate degree (Masters or Doctorate);Unemployed;Less than $12500;never;gt8;1~3;less1;less1;1;1;0;0;1;1
1941;No Urgent Place;Friend(s);Sunny;80;10PM;Bar;1d;Female;50plus;Married partner;1;Bachelors degree;Unemployed;$37500 - $49999;never;less1;1~3;1~3;1~3;1;1;0;0;1;0
1942;Home;Partner;Sunny;55;10PM;Bar;1d;Female;50plus;Married partner;0;Bachelors degree;Sales & Related;$50000 - $62499;1~3;4~8;less1;1~3;less1;1;1;1;0;1;0
1943;Home;Alone;Sunny;55;6PM;Bar;1d;Female;26;Single;0;Bachelors degree;Healthcare Practitioners & Technical;$37500 - $49999;1~3;1~3;gt8;gt8;gt8;1;0;0;1;0;1
1944;Home;Alone;Snowy;30;10PM;Restaurant(20-50);2h;Male;26;Single;0;Bachelors degree;Food Preparation & Serving Related;$50000 - $62499;4~8;1~3;4~8;1~3;4~8;1;0;0;0;1;1
1945;Work;Alone;Sunny;80;7AM;Coffee House;2h;Female;26;Unmarried partner;0;Graduate degree (Masters or Doctorate);Education&Training&Library;$37500 - $49999;never;1~3;1~3;1~3;less1;1;1;0;1;0;1
1946;Work;Alone;Snowy;30;7AM;Coffee House;1d;Male;21;Single;0;Bachelors degree;Legal;$87500 - $99999;1~3;less1;less1;less1;less1;1;0;0;1;0;0
1947;Home;Alone;Snowy;30;10PM;Restaurant(<20);2h;Male;below21;Single;0;Some college - no degree;Student;$25000 - $37499;never;never;less1;never;;1;1;1;0;1;0
1948;No Urgent Place;Friend(s);Sunny;80;6PM;Coffee House;2h;Male;31;Single;1;High School Graduate;Management;$50000 - $62499;gt8;gt8;gt8;gt8;gt8;1;0;0;0;1;0
1949;No Urgent Place;Partner;Sunny;80;6PM;Restaurant(<20);1d;Male;36;Married partner;0;Some college - no degree;Healthcare Practitioners & Technical;$25000 - $37499;never;gt8;4~8;less1;less1;1;0;0;0;1;0
1950;Work;Alone;Snowy;30;7AM;Restaurant(<20);2h;Female;46;Married partner;1;Some High School;Unemployed;$12500 - $24999;never;never;less1;less1;never;1;1;1;0;1;1
1951;Work;Alone;Sunny;80;7AM;Carry out & Take away;2h;Male;36;Married partner;1;Some college - no degree;Management;$50000 - $62499;less1;1~3;4~8;1~3;1~3;1;0;0;1;0;0
1952;No Urgent Place;Alone;Sunny;55;10AM;Coffee House;2h;Male;41;Single;0;Some college - no degree;Sales & Related;$37500 - $49999;never;never;4~8;1~3;less1;1;0;0;0;1;1
1953;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Female;below21;Unmarried partner;0;Some college - no degree;Student;$25000 - $37499;never;1~3;1~3;4~8;1~3;1;1;1;0;1;1
1954;Work;Alone;Sunny;55;7AM;Coffee House;1d;Male;21;Single;0;High School Graduate;Unemployed;Less than $12500;4~8;gt8;less1;1~3;never;1;1;1;0;1;1
1955;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;26;Single;0;Graduate degree (Masters or Doctorate);Management;$25000 - $37499;4~8;gt8;gt8;4~8;less1;1;0;0;0;1;1
1956;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Male;46;Married partner;1;Bachelors degree;Management;$100000 or More;4~8;never;4~8;4~8;1~3;1;1;0;0;1;0
1957;Home;Alone;Snowy;30;10PM;Coffee House;2h;Female;below21;Unmarried partner;0;High School Graduate;Student;Less than $12500;never;4~8;1~3;4~8;less1;1;1;0;0;1;0
1958;Work;Alone;Sunny;55;7AM;Coffee House;1d;Female;31;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$100000 or More;less1;less1;gt8;4~8;1~3;1;1;1;0;1;1
1959;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Male;36;Single;0;Some college - no degree;Sales & Related;$50000 - $62499;never;never;less1;4~8;less1;1;1;0;0;1;1
1960;No Urgent Place;Partner;Sunny;80;6PM;Bar;2h;Female;31;Unmarried partner;1;Bachelors degree;Management;$25000 - $37499;4~8;less1;1~3;4~8;1~3;1;1;0;0;1;1
1961;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Male;41;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$50000 - $62499;less1;4~8;4~8;1~3;less1;1;1;0;0;1;0
1962;No Urgent Place;Kid(s);Sunny;55;2PM;Coffee House;2h;Male;31;Married partner;1;Bachelors degree;Architecture & Engineering;$87500 - $99999;less1;less1;4~8;less1;less1;1;1;0;0;1;0
1963;Home;Alone;Sunny;80;10PM;Carry out & Take away;1d;Male;36;Married partner;0;Graduate degree (Masters or Doctorate);Education&Training&Library;$100000 or More;never;never;1~3;1~3;less1;1;0;0;1;0;1
1964;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Female;50plus;Widowed;1;High School Graduate;Retired;$12500 - $24999;never;less1;1~3;4~8;less1;1;1;0;0;1;0
1965;No Urgent Place;Friend(s);Sunny;80;6PM;Coffee House;1d;Female;31;Single;0;Bachelors degree;Unemployed;$100000 or More;never;4~8;gt8;4~8;less1;1;0;0;0;1;1
1966;No Urgent Place;Alone;Sunny;55;10AM;Coffee House;2h;Male;26;Single;0;High School Graduate;Sales & Related;$12500 - $24999;never;never;4~8;1~3;never;1;0;0;0;1;1
1967;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(20-50);2h;Female;50plus;Married partner;1;Some college - no degree;Arts Design Entertainment Sports & Media;$37500 - $49999;never;1~3;never;1~3;less1;1;1;0;0;1;1
1968;Home;Alone;Sunny;80;6PM;Coffee House;2h;Male;50plus;Married partner;1;Graduate degree (Masters or Doctorate);Sales & Related;$100000 or More;1~3;1~3;4~8;4~8;less1;1;0;0;0;1;1
1969;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Male;31;Single;1;Associates degree;Installation Maintenance & Repair;$37500 - $49999;1~3;4~8;1~3;1~3;less1;1;1;0;0;1;0
1970;No Urgent Place;Alone;Sunny;80;10AM;Restaurant(<20);2h;Male;26;Single;0;Bachelors degree;Sales & Related;$75000 - $87499;never;never;1~3;4~8;1~3;1;0;0;0;1;1
1971;Home;Alone;Sunny;80;10PM;Restaurant(<20);2h;Female;46;Single;0;Some college - no degree;Protective Service;$25000 - $37499;1~3;never;4~8;1~3;1~3;1;0;0;1;0;1
1972;No Urgent Place;Friend(s);Sunny;55;10PM;Bar;2h;Female;below21;Single;0;Some college - no degree;Student;$100000 or More;never;less1;1~3;1~3;1~3;1;1;0;0;1;1
1973;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Female;31;Unmarried partner;1;Bachelors degree;Sales & Related;$37500 - $49999;1~3;less1;4~8;4~8;less1;1;1;1;0;1;1
1974;Work;Alone;Rainy;55;7AM;Restaurant(20-50);1d;Male;50plus;Widowed;0;Some college - no degree;Installation Maintenance & Repair;Less than $12500;never;never;1~3;less1;less1;1;1;1;0;1;0
1975;No Urgent Place;Alone;Rainy;55;10AM;Coffee House;1d;Male;26;Single;0;Bachelors degree;Community & Social Services;$25000 - $37499;4~8;4~8;1~3;4~8;1~3;1;1;0;0;1;0
1976;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);1d;Female;21;Married partner;0;Some college - no degree;Unemployed;$37500 - $49999;less1;less1;1~3;1~3;1~3;1;1;0;0;1;1
1977;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Male;46;Married partner;1;Graduate degree (Masters or Doctorate);Retired;$50000 - $62499;never;never;less1;4~8;1~3;1;1;1;0;1;1
1978;Home;Alone;Sunny;80;10PM;Carry out & Take away;1d;Female;36;Married partner;1;Some college - no degree;Computer & Mathematical;$25000 - $37499;never;never;1~3;less1;never;1;0;0;1;0;1
1979;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);1d;Male;below21;Single;0;Some college - no degree;Student;$62500 - $74999;never;1~3;1~3;never;1~3;1;1;0;0;1;1
1980;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;31;Divorced;1;Some college - no degree;Food Preparation & Serving Related;$12500 - $24999;1~3;never;4~8;less1;less1;1;1;0;0;1;1
1981;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Male;below21;Unmarried partner;0;Some college - no degree;Student;$12500 - $24999;less1;gt8;4~8;1~3;less1;1;1;0;0;1;1
1982;Work;Alone;Sunny;80;7AM;Restaurant(<20);1d;Male;26;Married partner;1;Bachelors degree;Computer & Mathematical;$37500 - $49999;1~3;gt8;4~8;4~8;less1;1;0;0;1;0;1
1983;No Urgent Place;Friend(s);Sunny;80;10PM;Coffee House;1d;Female;36;Married partner;1;Graduate degree (Masters or Doctorate);Healthcare Practitioners & Technical;$87500 - $99999;1~3;4~8;4~8;4~8;1~3;1;1;0;0;1;1
1984;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);1d;Male;21;Single;0;Bachelors degree;Student;$100000 or More;4~8;gt8;4~8;gt8;1~3;1;1;0;0;1;1
1985;Work;Alone;Snowy;30;7AM;Carry out & Take away;1d;Male;26;Single;0;Graduate degree (Masters or Doctorate);Healthcare Support;$37500 - $49999;4~8;1~3;4~8;1~3;less1;1;1;0;1;0;0
1986;Work;Alone;Rainy;55;7AM;Carry out & Take away;2h;Female;31;Unmarried partner;0;Graduate degree (Masters or Doctorate);Computer & Mathematical;$50000 - $62499;less1;1~3;less1;1~3;less1;1;1;0;1;0;0
1987;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;21;Unmarried partner;0;Some college - no degree;Education&Training&Library;$25000 - $37499;4~8;less1;1~3;less1;never;1;0;0;0;1;1
1988;Work;Alone;Sunny;80;7AM;Coffee House;2h;Male;21;Unmarried partner;0;Bachelors degree;Business & Financial;$75000 - $87499;1~3;less1;4~8;1~3;1~3;1;1;0;1;0;0
1989;No Urgent Place;Partner;Sunny;80;2PM;Restaurant(20-50);1d;Male;46;Married partner;0;Some college - no degree;Unemployed;$12500 - $24999;never;less1;4~8;1~3;less1;1;0;0;0;1;1
1990;Home;Alone;Sunny;80;10PM;Restaurant(<20);2h;Male;26;Single;0;Associates degree;Unemployed;Less than $12500;less1;less1;1~3;less1;less1;1;0;0;1;0;1
1991;No Urgent Place;Kid(s);Sunny;55;6PM;Coffee House;2h;Female;41;Divorced;1;Bachelors degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;gt8;less1;1~3;never;1;1;0;0;1;1
1992;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Female;21;Married partner;1;Some college - no degree;Student;$12500 - $24999;1~3;1~3;4~8;4~8;never;1;1;0;0;1;1
1993;Home;Alone;Sunny;80;10PM;Restaurant(20-50);1d;Male;26;Single;1;Some High School;Unemployed;Less than $12500;1~3;gt8;4~8;4~8;4~8;1;0;0;0;1;1
1994;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Female;21;Single;0;Some college - no degree;Sales & Related;$12500 - $24999;never;1~3;4~8;1~3;never;1;0;0;0;1;1
1995;Home;Alone;Sunny;80;6PM;Carry out & Take away;1d;Male;26;Married partner;1;Bachelors degree;Management;$12500 - $24999;1~3;4~8;1~3;1~3;;1;0;0;0;1;1
1996;No Urgent Place;Friend(s);Sunny;30;10PM;Carry out & Take away;1d;Female;21;Married partner;1;Associates degree;Unemployed;$50000 - $62499;never;1~3;1~3;1~3;1~3;1;1;0;0;1;1
1997;Home;Alone;Sunny;80;10PM;Restaurant(<20);2h;Male;below21;Single;0;Some college - no degree;Student;$62500 - $74999;never;1~3;4~8;1~3;less1;1;0;0;1;0;0
1998;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;2h;Male;41;Married partner;1;Bachelors degree;Arts Design Entertainment Sports & Media;$37500 - $49999;;less1;1~3;4~8;1~3;1;1;0;0;1;1
1999;Work;Alone;Sunny;80;7AM;Coffee House;1d;Female;31;Married partner;1;Graduate degree (Masters or Doctorate);Student;$25000 - $37499;never;gt8;4~8;1~3;less1;1;0;0;1;0;0
2000;Home;Partner;Rainy;55;6PM;Coffee House;1d;Male;31;Unmarried partner;0;Bachelors degree;Sales & Related;$12500 - $24999;never;less1;1~3;1~3;never;1;0;0;1;0;1
2001;Home;Alone;Sunny;80;10PM;Bar;1d;Male;21;Single;0;Bachelors degree;Sales & Related;$100000 or More;less1;4~8;1~3;4~8;1~3;1;1;0;1;0;1
2002;Home;Alone;Rainy;55;6PM;Bar;1d;Female;50plus;Single;1;Associates degree;Retired;Less than $12500;never;never;less1;never;never;1;1;1;0;1;0
2003;Work;Alone;Sunny;80;7AM;Restaurant(20-50);1d;Male;50plus;Married partner;1;Associates degree;Management;$12500 - $24999;4~8;4~8;4~8;gt8;gt8;1;1;0;0;1;1
2004;Work;Alone;Sunny;80;7AM;Coffee House;1d;Female;31;Married partner;1;Associates degree;Student;$87500 - $99999;never;4~8;4~8;less1;less1;1;0;0;1;0;1
2005;Home;Alone;Sunny;55;6PM;Restaurant(20-50);1d;Male;26;Single;0;Some college - no degree;Unemployed;$87500 - $99999;never;1~3;4~8;less1;never;1;1;0;0;1;0
2006;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Male;26;Unmarried partner;0;Some college - no degree;Sales & Related;$50000 - $62499;1~3;4~8;gt8;1~3;1~3;1;1;0;0;1;1
2007;No Urgent Place;Friend(s);Sunny;55;2PM;Coffee House;2h;Male;21;Unmarried partner;0;Some college - no degree;Protective Service;$25000 - $37499;gt8;4~8;gt8;4~8;less1;1;0;0;0;1;0
2008;No Urgent Place;Partner;Sunny;80;10PM;Restaurant(<20);1d;Male;50plus;Married partner;1;Associates degree;Retired;$37500 - $49999;never;never;4~8;4~8;never;1;1;0;0;1;0
2009;Work;Alone;Sunny;80;7AM;Coffee House;2h;Male;21;Unmarried partner;0;Some college - no degree;Education&Training&Library;$25000 - $37499;4~8;less1;1~3;less1;never;1;0;0;1;0;0
2010;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;21;Single;0;Bachelors degree;Arts Design Entertainment Sports & Media;$50000 - $62499;gt8;1~3;;4~8;less1;1;0;0;0;1;1
2011;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);1d;Male;21;Single;0;Bachelors degree;Architecture & Engineering;$62500 - $74999;never;less1;4~8;4~8;less1;1;1;0;0;1;1
2012;No Urgent Place;Friend(s);Sunny;80;10AM;Restaurant(<20);1d;Female;50plus;Single;0;Bachelors degree;Installation Maintenance & Repair;$25000 - $37499;never;4~8;4~8;gt8;less1;1;0;0;0;1;1
2013;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Female;26;Single;0;Bachelors degree;Healthcare Practitioners & Technical;$37500 - $49999;1~3;1~3;gt8;gt8;gt8;1;0;0;0;1;1
2014;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Female;26;Single;0;Associates degree;Unemployed;Less than $12500;1~3;less1;4~8;less1;4~8;1;1;0;0;1;1
2015;No Urgent Place;Alone;Sunny;55;10AM;Coffee House;2h;Female;21;Single;0;Bachelors degree;Student;$100000 or More;1~3;never;1~3;1~3;4~8;1;0;0;0;1;0
2016;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Female;41;Unmarried partner;1;Some college - no degree;Unemployed;Less than $12500;never;1~3;1~3;4~8;less1;1;1;0;0;1;1
2017;Home;Alone;Snowy;30;10PM;Coffee House;2h;Female;below21;Single;0;Some college - no degree;Student;$100000 or More;never;less1;1~3;1~3;1~3;1;1;0;0;1;0
